"","Location","city","Sea.or.Pitt","distance.from.arena.in.miles","west.or.east","Home.Team","Away.Team","Result","W.or.L","Home.or.Away","estimated_flight_duration_in_hours","flight_time"
"102","Ball Arena","denver","Sea",1372,"west","Colorado Avalanche","Seattle Kraken","2 - 3","Sea W ","Away",2.744,"quick"
"103","Canada Life Centre","winnipeg","Sea",1397,"west","Winnipeg Jets","Seattle Kraken","3 - 2","Sea L","Away",2.794,"quick"
"104","Enterprise Center","st louis","Sea",2086,"west","St. Louis Blues","Seattle Kraken","3 - 5","Sea W ","Away",4.172,"long"
"105","Bridgestone Arena","nashville","Sea",2393,"west","Nashville Predators","Seattle Kraken","2 - 1","Sea L","Away",4.786,"long"
"106","Bridgestone Arena","nashville","Sea",2393,"west","Nashville Predators","Seattle Kraken","2 - 7","Sea W ","Away",4.786,"long"
"107","Mullett Arena","tempe","Sea",1518,"west","Arizona Coyotes","Seattle Kraken","1 - 4","Sea W ","Away",3.036,"quick"
"108","United Center","chicago","Sea",2065,"west","Chicago Blackhawks","Seattle Kraken","5 - 4","Sea L","Away",4.13,"long"
"109","United Center","chicago","Sea",2065,"west","Chicago Blackhawks","Seattle Kraken","5 - 8","Sea W ","Away",4.13,"long"
"110","Xcel Energy Center","st paul","Sea",1669,"west","Minnesota Wild","Seattle Kraken","0 - 4","Sea W ","Away",3.338,"quick"
"111","Xcel Energy Center","st paul","Sea",1669,"west","Minnesota Wild","Seattle Kraken","5 - 1","Sea L","Away",3.338,"quick"
"112","Rogers Arena","vancouver","Sea",142,"west","Vancouver Canucks","Seattle Kraken","6 - 5","Sea L","Away",0.284,"quick"
"113","Rogers Arena","vancouver","Sea",142,"west","Vancouver Canucks","Seattle Kraken","2 - 5","Sea W ","Away",0.284,"quick"
"114","T-Mobile Arena","vegas","Sea",1182,"west","Vegas Golden Knights","Seattle Kraken","2 - 4","Sea L","Away",2.364,"quick"
"115","T-Mobile Arena","vegas","Sea",1182,"west","Vegas Golden Knights","Seattle Kraken","4 - 1","Sea L","Away",2.364,"quick"
"116","Rogers Place","edmonton","Sea",789,"west","Edmonton Oilers","Seattle Kraken","2 - 5","Sea W ","Away",1.578,"quick"
"117","Rogers Place","edmonton","Sea",789,"west","Edmonton Oilers","Seattle Kraken","5 - 2","Sea L","Away",1.578,"quick"
"118","Crypto.com Arena","LA","Sea",1139,"west","Los Angeles Kings","Seattle Kraken","1 - 4","Sea W ","Away",2.278,"quick"
"119","Crypto.com Arena","LA","Sea",1139,"west","Los Angeles Kings","Seattle Kraken","8 - 9","Sea W ","Away",2.278,"quick"
"120","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Vegas Golden Knights","2 - 5","Sea L","Home",0,"quick"
"121","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Carolina Hurricanes","1 - 5","Sea L","Home",0,"quick"
"122","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","St. Louis Blues","3 - 4","Sea L","Home",0,"quick"
"123","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Buffalo Sabres","5 - 1","Sea W ","Home",0,"quick"
"124","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Vancouver Canucks","4 - 5","Sea L","Home",0,"quick"
"125","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Pittsburgh Penguins","3 - 1","Sea W ","Home",0,"quick"
"126","Climate Pledge Arena","seattle","Sea",0,"west","Seattle Kraken","Nashville Predators","5 - 1","Sea W ","Home",0,"quick"
